record_time,temperature,relative_humidity,air_pressure,pause
2025-08-02T19:29:55.591Z,19.05,52.08,1012.35,0
2025-08-02T19:59:55.591Z,19.08,53.47,1012.13,0
2025-08-02T20:29:55.591Z,18.8,53.24,1013.82,0
2025-08-02T20:59:55.591Z,19.2,52.3,1012.84,0
2025-08-02T21:29:55.591Z,19.49,51.51,1013.21,0
2025-08-02T21:59:55.591Z,19.48,53.62,1014.87,0
2025-08-02T22:29:55.591Z,19.6,50.4,1014.77,0
2025-08-02T22:59:55.591Z,19.08,50.46,1012.11,0
2025-08-02T23:29:55.591Z,19.3,51.08,1014.48,0
2025-08-02T23:59:55.591Z,18.93,52.61,1014.55,0
2025-08-03T00:29:55.591Z,18.94,54.12,1012.61,0
2025-08-03T00:59:55.591Z,19.47,51.45,1014.47,0
2025-08-03T01:29:55.591Z,19.57,53.05,1013.35,0
