record_time,temperature,relative_humidity,air_pressure,pause
2024-11-01T08:00:00,16.2,62.5,1013,0
2024-11-01T14:00:00,19.8,58.3,1012,0
2024-11-01T20:00:00,17.5,61.2,1012,0
2024-11-02T08:00:00,15.8,63.1,1013,0
2024-11-02T14:00:00,23.5,57.8,1013,0
2024-11-02T20:00:00,18.2,60.5,1012,0
2024-11-03T08:00:00,16.5,61.8,1012,0
2024-11-03T14:00:00,20.1,59.2,1011,0
2024-11-03T20:00:00,18.8,60.7,1011,0
2024-11-04T08:00:00,17.2,62.4,1012,0
2024-11-04T14:00:00,21.5,58.6,1012,0
2024-11-04T20:00:00,19.4,61.3,1011,0
2024-11-05T08:00:00,16.8,63.2,1011,0
2024-11-05T14:00:00,24.2,56.9,1010,0
2024-11-05T20:00:00,20.1,59.8,1010,0
2024-11-06T08:00:00,17.5,62.8,1011,0
2024-11-06T14:00:00,22.8,57.4,1011,0
2024-11-06T20:00:00,19.7,60.2,1010,0
2024-11-07T08:00:00,16.9,63.5,1010,0
2024-11-07T14:00:00,21.2,58.9,1009,0
2024-11-07T20:00:00,18.5,61.7,1009,0
2024-11-08T08:00:00,15.8,64.2,1010,0
2024-11-08T14:00:00,20.5,59.5,1010,0
2024-11-08T20:00:00,17.8,62.3,1009,0
2024-11-09T08:00:00,16.2,63.8,1009,0
2024-11-09T14:00:00,24.8,54.2,1008,0
2024-11-09T20:00:00,22.9,52.1,1008,0
2024-11-10T08:00:00,18.4,61.5,1009,0
2024-11-10T14:00:00,24.8,54.2,1009,0
2024-11-10T20:00:00,22.9,52.1,1008,0
2024-11-11T08:00:00,21.8,71.5,1008,0
2024-11-11T14:00:00,23.2,72.8,1007,0
2024-11-11T20:00:00,21.5,70.2,1007,0
2024-11-12T08:00:00,17.2,63.5,1008,0
2024-11-12T14:00:00,20.8,59.8,1008,0
2024-11-12T20:00:00,18.5,61.2,1007,0
2024-11-13T08:00:00,16.5,64.2,1007,0
2024-11-13T14:00:00,19.8,60.5,1006,0
2024-11-13T20:00:00,17.2,62.8,1006,0
2024-11-14T08:00:00,15.8,65.1,1007,0
2024-11-14T14:00:00,18.5,61.8,1007,0
2024-11-14T20:00:00,16.2,63.5,1006,0
2024-11-15T08:00:00,1.2,64.5,1006,0
2024-11-15T14:00:00,3.5,63.1,1005,0
2024-11-15T20:00:00,2.8,63.8,1005,0
2024-11-16T08:00:00,1.5,65.8,1005,0
2024-11-16T14:00:00,3.2,64.2,1004,0
2024-11-16T20:00:00,2.5,63.7,1004,0
2024-11-17T08:00:00,1.8,66.2,1005,0
2024-11-17T14:00:00,3.8,63.5,1005,0
2024-11-17T20:00:00,2.9,64.1,1004,0
2024-11-18T08:00:00,16.5,75.8,1004,0
2024-11-18T14:00:00,18.2,74.2,1003,0
2024-11-18T20:00:00,17.8,73.5,1003,0
2024-11-19T08:00:00,16.8,74.9,1004,0
2024-11-19T14:00:00,18.5,73.8,1004,0
2024-11-19T20:00:00,17.5,74.2,1003,0
2024-11-20T08:00:00,17.2,74.5,1003,0
2024-11-20T14:00:00,19.1,73.1,1002,0
2024-11-20T20:00:00,18.2,73.8,1002,0
2024-11-21T08:00:00,17.5,74.2,1003,0
2024-11-21T14:00:00,19.5,72.8,1003,0
2024-11-21T20:00:00,18.5,73.5,1002,0
2024-11-22T08:00:00,18.1,73.9,1002,0
2024-11-22T14:00:00,20.2,72.5,1001,0
2024-11-22T20:00:00,19.2,73.1,1001,0
2024-11-23T08:00:00,18.8,73.5,1002,0
2024-11-23T14:00:00,20.8,72.1,1002,0
2024-11-23T20:00:00,19.5,72.8,1001,0
2024-11-24T08:00:00,19.2,73.2,1001,0
2024-11-24T14:00:00,21.5,71.8,1000,0
2024-11-24T20:00:00,20.1,72.5,1000,0
2024-11-25T08:00:00,19.8,54.5,1001,0
2024-11-25T14:00:00,24.5,53.2,1001,0
2024-11-25T20:00:00,23.8,52.8,1000,0
2024-11-26T08:00:00,20.2,54.1,1000,0
2024-11-26T14:00:00,25.1,52.8,999,0
2024-11-26T20:00:00,24.2,53.5,999,0
2024-11-27T08:00:00,20.5,53.8,1000,0
2024-11-27T14:00:00,25.8,52.5,1000,0
2024-11-27T20:00:00,24.5,53.1,999,0
2024-11-28T08:00:00,21.1,53.5,999,0
2024-11-28T14:00:00,26.2,52.1,998,0
2024-11-28T20:00:00,25.1,52.8,998,0
2024-11-29T08:00:00,21.8,53.2,999,0
2024-11-29T14:00:00,26.8,51.8,999,0
2024-11-29T20:00:00,25.5,52.5,998,0
2024-11-30T08:00:00,22.2,52.9,998,0
2024-11-30T14:00:00,27.2,51.5,997,0
2024-11-30T20:00:00,26.1,52.2,997,0
