record_time,temperature,relative_humidity,air_pressure,pause
2025-01-01T08:00:00,15.5,61.2,1014,0
2025-01-01T14:00:00,18.8,57.5,1013,0
2025-01-01T20:00:00,17.1,59.8,1013,0
2025-01-02T08:00:00,15.9,60.8,1014,0
2025-01-02T14:00:00,19.2,56.9,1013,0
2025-01-02T20:00:00,17.5,58.7,1013,0
2025-01-03T08:00:00,15.7,61.0,1013,0
2025-01-03T14:00:00,19.0,57.1,1013,0
2025-01-03T20:00:00,17.3,59.0,1013,0
2025-01-04T08:00:00,15.8,60.9,1013,0
2025-01-04T14:00:00,19.1,57.0,1013,0
2025-01-04T20:00:00,17.4,58.9,1013,0
2025-01-05T08:00:00,15.6,61.1,1013,0
2025-01-05T14:00:00,18.9,57.2,1012,0
2025-01-05T20:00:00,17.2,59.1,1012,0
2025-01-06T08:00:00,15.7,61.0,1012,0
2025-01-06T14:00:00,19.0,57.1,1012,0
2025-01-06T20:00:00,17.3,59.0,1012,0
2025-01-07T08:00:00,15.8,60.9,1012,0
2025-01-07T14:00:00,19.1,57.0,1012,0
2025-01-07T20:00:00,17.4,58.9,1012,0
2025-01-08T08:00:00,2.0,63.5,1012,0
2025-01-08T14:00:00,1.8,63.2,1012,0
2025-01-08T20:00:00,0.5,62.8,1012,0
2025-01-09T08:00:00,0.2,62.5,1012,0
2025-01-09T14:00:00,1.5,63.0,1012,0
2025-01-09T20:00:00,0.8,62.7,1012,0
2025-01-10T08:00:00,1.2,62.9,1012,0
2025-01-10T14:00:00,1.9,63.3,1012,0
2025-01-10T20:00:00,0.7,62.6,1012,0
2025-01-11T08:00:00,1.4,63.1,1012,0
2025-01-11T14:00:00,1.7,63.2,1012,0
2025-01-11T20:00:00,0.6,62.5,1012,0
2025-01-12T08:00:00,1.3,63.0,1012,0
2025-01-12T14:00:00,1.6,63.1,1012,0
2025-01-12T20:00:00,0.4,62.4,1012,0
2025-01-13T08:00:00,1.5,63.2,1012,0
2025-01-13T14:00:00,1.8,63.3,1012,0
2025-01-13T20:00:00,0.5,62.5,1012,0
2025-01-14T08:00:00,1.6,63.3,1012,0
2025-01-14T14:00:00,1.9,63.4,1012,0
2025-01-14T20:00:00,0.6,62.6,1012,0
2025-01-15T08:00:00,1.7,63.4,1012,0
2025-01-15T14:00:00,2.0,63.5,1012,0
2025-01-15T20:00:00,0.7,62.7,1012,0
2025-01-16T08:00:00,1.8,63.5,1012,0
2025-01-16T14:00:00,2.1,63.6,1012,0
2025-01-16T20:00:00,0.8,62.8,1012,0
2025-01-17T08:00:00,1.9,63.6,1012,0
2025-01-17T14:00:00,2.2,63.7,1012,0
2025-01-17T20:00:00,0.9,62.9,1012,0
2025-01-18T08:00:00,16.8,76.2,1011,0
2025-01-18T14:00:00,19.2,74.5,1011,0
2025-01-18T20:00:00,17.8,75.5,1011,0
2025-01-19T08:00:00,16.9,76.3,1011,0
2025-01-19T14:00:00,19.3,74.6,1011,0
2025-01-19T20:00:00,17.9,75.6,1011,0
2025-01-20T08:00:00,17.0,76.4,1011,0
2025-01-20T14:00:00,19.4,74.7,1011,0
2025-01-20T20:00:00,18.0,75.7,1011,0
2025-01-21T08:00:00,17.1,76.4,1011,0
2025-01-21T14:00:00,19.4,74.7,1011,0
2025-01-21T20:00:00,18.1,75.8,1011,0
2025-01-22T08:00:00,17.2,76.5,1011,0
2025-01-22T14:00:00,19.5,74.8,1011,0
2025-01-22T20:00:00,18.2,75.9,1011,0
2025-01-23T08:00:00,17.3,76.6,1011,0
2025-01-23T14:00:00,19.6,74.9,1011,0
2025-01-23T20:00:00,18.3,76.0,1011,0
2025-01-24T08:00:00,17.4,76.7,1011,0
2025-01-24T14:00:00,19.7,75.0,1011,0
2025-01-24T20:00:00,18.4,76.1,1011,0
2025-01-25T08:00:00,20.5,54.8,1010,0
2025-01-25T14:00:00,23.5,54.0,1010,0
2025-01-25T20:00:00,22.0,54.5,1010,0
2025-01-26T08:00:00,20.6,54.7,1010,0
2025-01-26T14:00:00,23.6,53.9,1010,0
2025-01-26T20:00:00,22.1,54.4,1010,0
2025-01-27T08:00:00,20.7,54.6,1010,0
2025-01-27T14:00:00,23.7,53.8,1010,0
2025-01-27T20:00:00,22.2,54.3,1010,0
2025-01-28T08:00:00,20.8,54.5,1010,0
2025-01-28T14:00:00,23.9,54.2,1010,0
2025-01-28T20:00:00,22.3,54.2,1010,0
2025-01-29T08:00:00,20.9,54.4,1010,0
2025-01-29T14:00:00,24.0,53.6,1010,0
2025-01-29T20:00:00,22.4,54.1,1010,0
2025-01-30T08:00:00,21.0,54.3,1010,0
2025-01-30T14:00:00,24.1,53.5,1010,0
2025-01-30T20:00:00,22.5,54.0,1010,0
