record_time,temperature,relative_humidity,air_pressure,pause
2024-03-11T00:00:00,8.2,55.3,1012,0
2024-03-11T06:00:00,7.5,57.1,1011,0
2024-03-11T12:00:00,9.8,54.2,1011,0
2024-03-11T18:00:00,8.9,56.4,1012,0
2024-03-12T00:00:00,7.8,58.2,1013,0
2024-03-12T06:00:00,7.2,59.1,1013,0
2024-03-12T12:00:00,10.1,54.8,1012,0
2024-03-12T18:00:00,9.2,56.2,1012,0
2024-03-13T00:00:00,8.1,57.8,1011,0
2024-03-13T06:00:00,7.4,58.9,1011,0
2024-03-13T12:00:00,10.5,53.9,1010,0
2024-03-13T18:00:00,9.6,55.7,1010,0
2024-03-14T00:00:00,8.3,57.4,1009,0
2024-03-14T06:00:00,7.6,58.6,1009,0
2024-03-14T12:00:00,10.8,53.2,1008,0
2024-03-14T18:00:00,9.9,54.9,1008,0
2024-03-15T00:00:00,8.5,56.8,1009,0
2024-03-15T06:00:00,7.8,58.1,1009,0
2024-03-15T12:00:00,11.2,52.6,1010,0
2024-03-15T18:00:00,10.2,54.3,1010,0
2024-03-16T00:00:00,8.8,56.4,1011,0
2024-03-16T06:00:00,8.1,57.8,1011,0
2024-03-16T12:00:00,11.5,52.1,1012,0
2024-03-16T18:00:00,10.5,53.9,1012,0
2024-03-17T00:00:00,9.1,55.9,1013,0
2024-03-17T06:00:00,8.4,57.2,1013,0
2024-03-17T12:00:00,11.8,51.7,1014,0
2024-03-17T18:00:00,10.8,53.5,1014,0
2024-03-18T00:00:00,9.4,55.5,1015,0
2024-03-18T06:00:00,8.7,56.8,1015,0
2024-03-18T12:00:00,12.1,51.3,1014,0
2024-03-18T18:00:00,11.1,53.1,1014,0
2024-03-19T00:00:00,9.7,55.1,1013,0
2024-03-19T06:00:00,9.0,56.4,1013,0
2024-03-19T12:00:00,12.4,50.9,1012,0
2024-03-19T18:00:00,11.4,52.7,1012,0
2024-03-20T00:00:00,10.0,54.7,1011,0
2024-03-20T06:00:00,9.3,56.0,1011,0
2024-03-20T12:00:00,12.7,50.5,1010,0
2024-03-20T18:00:00,11.7,52.3,1010,0 
