record_time,temperature,relative_humidity,air_pressure,pause
2024-12-01T08:00:00,15.8,63.2,1012,0
2024-12-01T14:00:00,18.5,58.9,1011,0
2024-12-01T20:00:00,16.8,61.5,1011,0
2024-12-02T08:00:00,16.2,62.8,1010,0
2024-12-02T14:00:00,19.1,58.2,1010,0
2024-12-02T20:00:00,17.2,60.8,1009,0
2024-12-03T08:00:00,16.5,62.1,1009,0
2024-12-03T14:00:00,19.8,57.5,1008,0
2024-12-03T20:00:00,17.5,60.2,1008,0
2024-12-04T08:00:00,16.8,61.5,1008,0
2024-12-04T14:00:00,20.2,56.8,1007,0
2024-12-04T20:00:00,18.0,59.5,1007,0
2024-12-05T08:00:00,17.2,60.8,1006,0
2024-12-05T14:00:00,20.8,56.2,1005,0
2024-12-05T20:00:00,18.5,58.9,1005,0
2024-12-06T08:00:00,17.5,60.2,1004,0
2024-12-06T14:00:00,21.2,55.5,1003,0
2024-12-06T20:00:00,19.0,58.2,1003,0
2024-12-07T08:00:00,17.8,59.8,1003,0
2024-12-07T14:00:00,21.5,55.0,1002,0
2024-12-07T20:00:00,19.2,57.8,1002,0
2024-12-08T08:00:00,18.0,59.5,1002,0
2024-12-08T14:00:00,21.8,54.5,1001,0
2024-12-08T20:00:00,19.5,57.2,1001,0
2024-12-09T08:00:00,18.2,59.2,1001,0
2024-12-09T14:00:00,22.0,54.2,1000,0
2024-12-09T20:00:00,19.8,56.8,1000,0
2024-12-10T08:00:00,18.5,58.9,1000,0
2024-12-10T14:00:00,22.2,54.0,999,0
2024-12-10T20:00:00,20.0,56.5,999,0
2024-12-11T08:00:00,18.8,58.5,999,0
2024-12-11T14:00:00,22.5,53.8,998,0
2024-12-11T20:00:00,20.2,56.2,998,0
2024-12-12T08:00:00,19.0,58.2,998,0
2024-12-12T14:00:00,22.8,53.5,997,0
2024-12-12T20:00:00,20.5,55.8,997,0
2024-12-13T08:00:00,19.2,57.8,997,0
2024-12-13T14:00:00,23.0,53.2,996,0
2024-12-13T20:00:00,20.8,55.5,996,0
2024-12-14T08:00:00,19.5,57.2,996,0
2024-12-14T14:00:00,23.2,53.0,995,0
2024-12-14T20:00:00,21.0,55.2,995,0
2024-12-15T08:00:00,19.8,56.8,995,0
2024-12-15T14:00:00,23.5,52.8,994,0
2024-12-15T20:00:00,21.2,54.8,994,0
2024-12-16T08:00:00,20.0,56.5,994,0
2024-12-16T14:00:00,23.8,52.5,993,0
2024-12-16T20:00:00,21.5,54.5,993,0
2024-12-17T08:00:00,20.2,56.2,993,0
2024-12-17T14:00:00,24.0,52.2,992,0
2024-12-17T20:00:00,21.8,54.2,992,0
2024-12-18T08:00:00,20.5,55.8,992,0
2024-12-18T14:00:00,24.2,52.0,991,0
2024-12-18T20:00:00,22.0,54.0,991,0
2024-12-19T08:00:00,20.8,55.5,991,0
2024-12-19T14:00:00,24.5,51.8,990,0
2024-12-19T20:00:00,22.2,53.8,990,0
2024-12-20T08:00:00,21.0,55.2,990,0
2024-12-20T14:00:00,24.8,51.5,989,0
2024-12-20T20:00:00,22.5,53.5,989,0
2024-12-21T08:00:00,21.2,54.8,989,0
2024-12-21T14:00:00,25.0,51.2,988,0
2024-12-21T20:00:00,22.8,53.2,988,0
2024-12-22T08:00:00,21.5,54.5,988,0
2024-12-22T14:00:00,25.2,51.0,987,0
2024-12-22T20:00:00,23.0,53.0,987,0
2024-12-23T08:00:00,21.8,54.2,987,0
2024-12-23T14:00:00,25.5,50.8,986,0
2024-12-23T20:00:00,23.2,52.8,986,0
2024-12-24T08:00:00,22.0,54.0,986,0
2024-12-24T14:00:00,25.8,50.5,985,0
2024-12-24T20:00:00,23.5,52.5,985,0
2024-12-25T08:00:00,22.2,53.8,985,0
2024-12-25T14:00:00,26.0,50.2,984,0
2024-12-25T20:00:00,23.8,52.2,984,0
2024-12-26T08:00:00,22.5,53.5,984,0
2024-12-26T14:00:00,26.2,50.0,983,0
2024-12-26T20:00:00,24.0,52.0,983,0
2024-12-27T08:00:00,22.8,53.2,983,0
2024-12-27T14:00:00,26.5,49.8,982,0
2024-12-27T20:00:00,24.2,51.8,982,0
2024-12-28T08:00:00,23.0,53.0,982,0
2024-12-28T14:00:00,26.8,49.5,981,0
2024-12-28T20:00:00,24.5,51.5,981,0
2024-12-29T08:00:00,23.2,52.8,981,0
2024-12-29T14:00:00,27.0,49.2,980,0
2024-12-29T20:00:00,24.8,51.2,980,0
2024-12-30T08:00:00,21.5,53.2,998,0
2024-12-30T14:00:00,26.5,51.8,997,0
2024-12-30T20:00:00,25.2,52.5,997,0
2024-12-31T08:00:00,22.0,52.8,998,0
2024-12-31T14:00:00,27.0,51.2,997,0
2024-12-31T20:00:00,25.8,52.0,997,0
