record_time,temperature,relative_humidity,air_pressure,pause
2025-01-01T08:00:00,14.5,59.8,1015,0
2025-01-01T14:00:00,18.2,56.4,1014,0
2025-01-01T20:00:00,16.8,58.9,1014,0
2025-01-02T08:00:00,15.1,60.2,1015,0
2025-01-02T14:00:00,19.5,55.7,1014,0
2025-01-02T20:00:00,17.2,57.8,1014,0
2025-01-03T08:00:00,14.8,60.5,1014,0
2025-01-03T14:00:00,18.5,56.2,1013,0
2025-01-03T20:00:00,16.9,58.4,1013,0
2025-01-04T08:00:00,15.2,59.9,1014,0
2025-01-04T14:00:00,19.2,55.8,1014,0
2025-01-04T20:00:00,17.5,57.5,1013,0
2025-01-05T08:00:00,14.9,60.1,1013,0
2025-01-05T14:00:00,18.8,56.0,1013,0
2025-01-05T20:00:00,17.1,58.2,1013,0
2025-01-06T08:00:00,15.3,59.7,1013,0
2025-01-06T14:00:00,19.4,55.6,1013,0
2025-01-06T20:00:00,17.6,57.9,1012,0
2025-01-07T08:00:00,15.0,60.3,1012,0
2025-01-07T14:00:00,18.9,55.9,1012,0
2025-01-07T20:00:00,17.3,58.1,1012,0
2025-01-08T08:00:00,14.7,60.4,1013,0
2025-01-08T14:00:00,18.6,56.1,1013,0
2025-01-08T20:00:00,16.8,58.5,1012,0
2025-01-09T08:00:00,15.4,59.8,1012,0
2025-01-09T14:00:00,19.1,55.7,1012,0
2025-01-09T20:00:00,17.4,57.8,1012,0
2025-01-10T08:00:00,14.6,60.2,1013,0
2025-01-10T14:00:00,18.7,56.3,1013,0
2025-01-10T20:00:00,16.9,58.4,1012,0
2025-01-11T08:00:00,15.1,59.9,1012,0
2025-01-11T14:00:00,19.3,55.8,1012,0
2025-01-11T20:00:00,17.5,57.7,1012,0
2025-01-12T08:00:00,2.2,62.8,1013,0
2025-01-12T14:00:00,0.8,62.5,1013,0
2025-01-12T20:00:00,1.5,61.8,1013,0
2025-01-13T08:00:00,2.0,62.6,1013,0
2025-01-13T14:00:00,1.2,62.3,1012,0
2025-01-13T20:00:00,1.8,61.9,1012,0
2025-01-14T08:00:00,2.1,62.7,1012,0
2025-01-14T14:00:00,0.9,62.4,1012,0
2025-01-14T20:00:00,1.6,61.7,1012,0
2025-01-15T08:00:00,2.3,62.9,1012,0
2025-01-15T14:00:00,1.1,62.2,1012,0
2025-01-15T20:00:00,1.7,61.6,1012,0
2025-01-16T08:00:00,2.4,62.8,1012,0
2025-01-16T14:00:00,1.0,62.3,1012,0
2025-01-16T20:00:00,1.9,61.5,1012,0
2025-01-17T08:00:00,2.2,62.7,1012,0
2025-01-17T14:00:00,1.3,62.1,1012,0
2025-01-17T20:00:00,2.0,61.4,1012,0
2025-01-18T08:00:00,16.5,75.8,1012,0
2025-01-18T14:00:00,18.2,74.2,1012,0
2025-01-18T20:00:00,17.8,73.5,1012,0
2025-01-19T08:00:00,16.8,75.5,1012,0
2025-01-19T14:00:00,18.5,74.0,1011,0
2025-01-19T20:00:00,18.0,73.2,1011,0
2025-01-20T08:00:00,17.0,75.3,1011,0
2025-01-20T14:00:00,18.7,73.8,1011,0
2025-01-20T20:00:00,18.2,73.0,1011,0
2025-01-21T08:00:00,17.2,75.1,1011,0
2025-01-21T14:00:00,18.9,73.6,1011,0
2025-01-21T20:00:00,18.4,72.8,1011,0
2025-01-22T08:00:00,17.4,74.9,1011,0
2025-01-22T14:00:00,19.1,73.4,1011,0
2025-01-22T20:00:00,18.6,72.6,1011,0
2025-01-23T08:00:00,17.6,74.7,1011,0
2025-01-23T14:00:00,19.3,73.2,1011,0
2025-01-23T20:00:00,18.8,72.4,1011,0
2025-01-24T08:00:00,17.8,74.5,1011,0
2025-01-24T14:00:00,19.5,73.0,1011,0
2025-01-24T20:00:00,19.0,72.2,1011,0
2025-01-25T08:00:00,19.8,54.5,1011,0
2025-01-25T14:00:00,24.5,53.2,1011,0
2025-01-25T20:00:00,23.8,52.8,1011,0
2025-01-26T08:00:00,20.0,54.3,1011,0
2025-01-26T14:00:00,24.7,53.0,1011,0
2025-01-26T20:00:00,24.0,52.6,1011,0
2025-01-27T08:00:00,20.2,54.1,1011,0
2025-01-27T14:00:00,24.9,52.8,1011,0
2025-01-27T20:00:00,24.2,52.4,1011,0
2025-01-28T08:00:00,20.4,53.9,1011,0
2025-01-28T14:00:00,25.1,52.6,1011,0
2025-01-28T20:00:00,24.4,52.2,1011,0
2025-01-29T08:00:00,20.6,53.7,1011,0
2025-01-29T14:00:00,25.3,52.4,1011,0
2025-01-29T20:00:00,24.6,52.0,1011,0
2025-01-30T08:00:00,20.8,53.5,1011,0
2025-01-30T14:00:00,25.5,52.2,1011,0
2025-01-30T20:00:00,24.8,51.8,1011,0
